school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Air Force,0.288,0.224,0.219,0.223,0.381,0.253,0.343,0.289,0.275,0.206,0.134,0.141
Akron,0.066,0.107,0.345,0.28,0.13,0.17,0.548,0.364,0.007,0.106,0.199,0.17
Alabama,0.291,0.255,-0.021,0.019,0.381,0.307,0.012,0.094,0.228,0.185,0.04,0.092
Appalachian State,0.225,0.224,0.26,0.236,0.226,0.238,0.297,0.247,0.215,0.184,0.22,0.197
Arizona,0.272,0.237,0.429,0.325,0.36,0.298,0.491,0.352,0.135,0.147,0.36,0.239
Arizona State,0.226,0.197,0.194,0.166,0.378,0.3,0.182,0.185,0.038,0.103,0.193,0.164
Arkansas,0.247,0.261,0.316,0.261,0.437,0.348,0.359,0.288,0.185,0.17,0.297,0.22
Arkansas State,0.088,0.137,0.28,0.253,0.202,0.233,0.481,0.347,-0.054,0.068,0.141,0.155
Army,0.277,0.225,0.343,0.267,0.446,0.275,0.389,0.283,0.236,0.19,0.314,0.223
Auburn,0.158,0.184,0.225,0.175,0.214,0.233,0.195,0.198,0.153,0.157,0.252,0.189
Ball State,0.139,0.117,0.178,0.18,0.202,0.179,0.215,0.219,0.057,0.102,0.175,0.164
Baylor,0.23,0.214,0.14,0.145,0.276,0.244,0.188,0.198,0.241,0.203,0.093,0.129
Boise State,0.212,0.195,0.072,0.147,0.283,0.256,0.084,0.203,0.191,0.167,0.102,0.13
Boston College,0.068,0.135,0.214,0.203,0.16,0.217,0.38,0.289,-0.053,0.084,0.072,0.126
Bowling Green,0.079,0.108,0.131,0.157,0.123,0.166,0.188,0.204,0.09,0.129,0.181,0.177
Buffalo,0.139,0.147,0.217,0.207,0.247,0.233,0.389,0.3,0.078,0.122,0.102,0.128
BYU,0.256,0.221,0.255,0.229,0.363,0.305,0.311,0.28,0.144,0.136,0.219,0.18
California,0.165,0.14,0.202,0.181,0.178,0.178,0.286,0.257,0.164,0.146,0.108,0.124
Central Michigan,0.094,0.125,0.192,0.191,0.187,0.211,0.258,0.242,0.052,0.114,0.139,0.149
Charlotte,0.146,0.152,0.349,0.322,0.208,0.221,0.537,0.383,0.171,0.155,0.268,0.213
Cincinnati,0.197,0.18,0.106,0.113,0.285,0.249,0.098,0.153,0.086,0.117,0.165,0.145
Clemson,0.226,0.21,0.076,0.11,0.291,0.267,0.086,0.141,0.22,0.178,0.064,0.126
Coastal Carolina,0.387,0.283,0.288,0.261,0.521,0.339,0.412,0.315,0.273,0.192,0.222,0.189
Colorado,0.08,0.104,0.362,0.278,0.045,0.128,0.469,0.339,0.166,0.153,0.259,0.19
Colorado State,-0.054,0.026,0.189,0.205,-0.029,0.111,0.225,0.247,-0.033,0.063,0.212,0.179
Connecticut,0.086,0.128,0.233,0.226,0.066,0.179,0.227,0.235,0.156,0.152,0.235,0.192
Duke,0.243,0.219,0.17,0.18,0.157,0.197,0.304,0.265,0.336,0.241,0.02,0.106
East Carolina,0.248,0.216,0.191,0.18,0.28,0.242,0.285,0.251,0.205,0.177,0.072,0.127
Eastern Michigan,0.178,0.159,0.189,0.223,0.183,0.193,0.31,0.288,0.179,0.167,0.115,0.148
Florida,0.214,0.225,0.261,0.201,0.126,0.195,0.293,0.244,0.289,0.221,0.243,0.187
Florida Atlantic,0.21,0.174,0.239,0.215,0.275,0.233,0.314,0.265,0.157,0.15,0.168,0.156
Florida International,0.019,0.043,0.256,0.242,0.044,0.116,0.282,0.254,0.046,0.098,0.224,0.197
Florida State,0.337,0.308,0.183,0.189,0.393,0.33,0.19,0.213,0.277,0.216,0.175,0.178
