offense,hfa,defense,ppa
Hawai'i,1.0,Vanderbilt,-0.7029700220436519
Hawai'i,1.0,Vanderbilt,1.7302143481872232
Hawai'i,1.0,Vanderbilt,1.0359877217814513
Hawai'i,1.0,Vanderbilt,-1.360863301114897
Hawai'i,1.0,Vanderbilt,1.898872287844128
Hawai'i,1.0,Vanderbilt,1.5800305179342349
Hawai'i,1.0,Vanderbilt,-0.7563826646013361
Hawai'i,1.0,Vanderbilt,3.7179097860106776
Vanderbilt,-1.0,Hawai'i,-0.1951535561947866
Vanderbilt,-1.0,Hawai'i,0.9188901711324089
Vanderbilt,-1.0,Hawai'i,1.032622651582865
Hawai'i,1.0,Vanderbilt,-0.5586693796725282
Hawai'i,1.0,Vanderbilt,-0.2608138520764314
Hawai'i,1.0,Vanderbilt,0.2521749694344546
Vanderbilt,-1.0,Hawai'i,0.1106253034395996
Vanderbilt,-1.0,Hawai'i,-1.1531340131432213
Vanderbilt,-1.0,Hawai'i,2.4846423886584663
Vanderbilt,-1.0,Hawai'i,-0.52968574160999
Vanderbilt,-1.0,Hawai'i,-0.8286487168543601
Vanderbilt,-1.0,Hawai'i,-1.0381135967514794
Vanderbilt,-1.0,Hawai'i,-1.190669587274149
Hawai'i,1.0,Vanderbilt,0.1104175997643273
Hawai'i,1.0,Vanderbilt,1.253659278461976
Hawai'i,1.0,Vanderbilt,-0.4922124363662006
Hawai'i,1.0,Vanderbilt,0.0778768268964641
Hawai'i,1.0,Vanderbilt,-0.7383918420300466
Vanderbilt,-1.0,Hawai'i,-0.04789648957461967
Vanderbilt,-1.0,Hawai'i,1.6945481349364933
Vanderbilt,-1.0,Hawai'i,-0.6439997383019928
Vanderbilt,-1.0,Hawai'i,1.695892912504016
Vanderbilt,-1.0,Hawai'i,0.8547798076767883
Vanderbilt,-1.0,Hawai'i,1.0437649955693085
Vanderbilt,-1.0,Hawai'i,0.296402392854205
Vanderbilt,-1.0,Hawai'i,1.900352237473006
Hawai'i,1.0,Vanderbilt,-8.307213481095657
Hawai'i,1.0,Vanderbilt,1.124751479041831
