id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401405059,2022,1,regular,2022-08-27T16:30:00.000Z,False,True,True,,3504.0,Aviva Stadium,77,Northwestern,Big Ten,fbs,31.0,"[3, 14, 7, 7]",0.5475434597351944,1361.0,1381.0,158,Nebraska,Big Ten,fbs,28.0,"[7, 7, 14, 0]",0.45245654026480564,1636.0,1616.0,8.3493556676,,
401405058,2022,1,regular,2022-08-27T20:00:00.000Z,False,False,False,,3832.0,Memorial Stadium,356,Illinois,Big Ten,fbs,38.0,"[7, 10, 7, 14]",0.9974722912053572,1496.0,1584.0,2751,Wyoming,Mountain West,fbs,6.0,"[3, 0, 3, 0]",0.0025277087946428134,1497.0,1409.0,2.571416914,,
401404146,2022,1,regular,2022-08-27T20:00:00.000Z,False,False,False,,3905.0,Romney Stadium,328,Utah State,Mountain West,fbs,31.0,"[0, 24, 0, 7]",0.9891655857079721,1566.0,1555.0,41,Connecticut,FBS Independents,fbs,20.0,"[14, 0, 0, 6]",0.010834414292027916,1117.0,1128.0,4.5637067523,,
401426530,2022,1,regular,2022-08-27T23:00:00.000Z,False,False,True,,3715.0,FAU Stadium,2226,Florida Atlantic,Conference USA,fbs,43.0,"[10, 16, 7, 10]",0.9988415542177018,1427.0,1488.0,2429,Charlotte,Conference USA,fbs,13.0,"[7, 0, 6, 0]",0.0011584457822981786,1272.0,1211.0,6.6262524505,,
401426531,2022,1,regular,2022-08-28T01:00:00.000Z,False,False,True,,3946.0,Sun Bowl Stadium,2638,UTEP,Conference USA,fbs,13.0,"[0, 13, 0, 0]",0.004746335356215618,1360.0,1323.0,249,North Texas,Conference USA,fbs,31.0,"[0, 14, 14, 3]",0.9952536646437844,1426.0,1463.0,4.1152955946,,
401409235,2022,1,regular,2022-08-28T02:00:00.000Z,False,False,False,,3601.0,Aggie Memorial Stadium,166,New Mexico State,FBS Independents,fbs,12.0,"[0, 2, 7, 3]",0.13436970618775704,1184.0,1192.0,2440,Nevada,Mountain West,fbs,23.0,"[0, 17, 0, 6]",0.865630293812243,1564.0,1556.0,3.8315877915,,
401403853,2022,1,regular,2022-08-28T02:30:00.000Z,False,False,False,,7220.0,Clarence T.C. Ching Athletics Complex,62,Hawai'i,Mountain West,fbs,10.0,"[7, 3, 0, 0]",0.0003589600988952661,1432.0,1223.0,238,Vanderbilt,SEC,fbs,63.0,"[14, 7, 35, 7]",0.9996410399011048,1222.0,1431.0,2.4199370723,,
401411092,2022,1,regular,2022-09-01T23:00:00.000Z,False,False,False,,3752.0,Heinz Field,221,Pittsburgh,ACC,fbs,38.0,"[3, 7, 14, 14]",0.9865973304508046,1667.0,1667.0,277,West Virginia,Big 12,fbs,31.0,"[0, 10, 7, 14]",0.013402669549195445,1490.0,1490.0,9.9132290774,,
401416569,2022,1,regular,2022-09-01T23:00:00.000Z,False,False,False,,3646.0,Boone Pickens Stadium,197,Oklahoma State,Big 12,fbs,58.0,"[16, 28, 7, 7]",0.6006092661124897,1775.0,1783.0,2117,Central Michigan,Mid-American,fbs,44.0,"[7, 8, 7, 22]",0.39939073388751034,1536.0,1528.0,2.0476622516,,
401403864,2022,1,regular,2022-09-01T23:00:00.000Z,False,False,False,,3853.0,Neyland Stadium,2633,Tennessee,SEC,fbs,59.0,"[17, 21, 14, 7]",0.9984193930948007,1640.0,1756.0,2050,Ball State,Mid-American,fbs,10.0,"[0, 0, 7, 3]",0.0015806069051993443,1410.0,1294.0,1.1199358518,,
401405064,2022,1,regular,2022-09-02T00:00:00.000Z,False,False,True,,3907.0,Ross-Ade Stadium,2509,Purdue,Big Ten,fbs,31.0,"[3, 7, 14, 7]",0.48506051458343835,1635.0,1631.0,213,Penn State,Big Ten,fbs,35.0,"[0, 21, 0, 14]",0.5149394854165616,1670.0,1674.0,9.5688027282,,
401426537,2022,1,regular,2022-09-02T00:00:00.000Z,False,False,False,,3838.0,Faurot Field,142,Missouri,SEC,fbs,52.0,"[0, 24, 14, 14]",0.995361330261684,1404.0,1465.0,2348,Louisiana Tech,Conference USA,fbs,24.0,"[3, 7, 0, 14]",0.004638669738315948,1301.0,1240.0,2.5195936354,,
401405060,2022,1,regular,2022-09-02T01:00:00.000Z,False,False,False,,3953.0,TCF Bank Stadium,135,Minnesota,Big Ten,fbs,38.0,"[7, 17, 14, 0]",0.998958161112331,1639.0,1691.0,166,New Mexico State,FBS Independents,fbs,0.0,"[0, 0, 0, 0]",0.0010418388876689555,1192.0,1140.0,1.1471103779,,
401426330,2022,1,regular,2022-09-02T23:00:00.000Z,False,False,False,,3918.0,Foreman Field,295,Old Dominion,Sun Belt,fbs,20.0,"[0, 10, 0, 10]",0.006236711524411014,1390.0,1391.0,259,Virginia Tech,ACC,fbs,17.0,"[7, 0, 10, 0]",0.993763288475589,1412.0,1411.0,9.2340782584,,
