offense,hfa,defense,ppa
Hawai'i,1.0,Vanderbilt,-0.7029700220436519
Hawai'i,1.0,Vanderbilt,1.7302143481872232
Hawai'i,1.0,Vanderbilt,-1.360863301114897
Hawai'i,1.0,Vanderbilt,1.898872287844128
Hawai'i,1.0,Vanderbilt,1.5800305179342349
Hawai'i,1.0,Vanderbilt,-0.7563826646013361
Hawai'i,1.0,Vanderbilt,-0.5586693796725282
Hawai'i,1.0,Vanderbilt,-0.2608138520764314
Hawai'i,1.0,Vanderbilt,0.2521749694344546
Vanderbilt,-1.0,Hawai'i,-1.1531340131432213
Vanderbilt,-1.0,Hawai'i,2.4846423886584663
Vanderbilt,-1.0,Hawai'i,-0.52968574160999
Vanderbilt,-1.0,Hawai'i,-1.0381135967514794
Vanderbilt,-1.0,Hawai'i,-1.190669587274149
Hawai'i,1.0,Vanderbilt,0.0778768268964641
Hawai'i,1.0,Vanderbilt,-0.7383918420300466
Vanderbilt,-1.0,Hawai'i,0.8547798076767883
Vanderbilt,-1.0,Hawai'i,1.900352237473006
Hawai'i,1.0,Vanderbilt,1.124751479041831
Hawai'i,1.0,Vanderbilt,-0.8867433222723466
Hawai'i,1.0,Vanderbilt,0.3052283588613119
Hawai'i,1.0,Vanderbilt,0.0872656999639112
Hawai'i,1.0,Vanderbilt,0.077091139010788
Hawai'i,1.0,Vanderbilt,-0.3973375061559616
Hawai'i,1.0,Vanderbilt,-0.6446739458206068
Hawai'i,1.0,Vanderbilt,-0.9259981560426916
Vanderbilt,-1.0,Hawai'i,0.650119928891494
Vanderbilt,-1.0,Hawai'i,2.29114568347223
Hawai'i,1.0,Vanderbilt,-0.334056406101074
Hawai'i,1.0,Vanderbilt,2.602236729259923
Hawai'i,1.0,Vanderbilt,-1.15714755134967
Vanderbilt,-1.0,Hawai'i,1.7948225198444767
Vanderbilt,-1.0,Hawai'i,-1.0560204971413256
Vanderbilt,-1.0,Hawai'i,0.7558692429966261
Vanderbilt,-1.0,Hawai'i,-2.6253364582892527
Hawai'i,1.0,Vanderbilt,1.3193498067983958
