offense,hfa,defense,ppa
Hawai'i,1.0,Vanderbilt,1.0359877217814513
Hawai'i,1.0,Vanderbilt,3.7179097860106776
Vanderbilt,-1.0,Hawai'i,-0.1951535561947866
Vanderbilt,-1.0,Hawai'i,0.9188901711324089
Vanderbilt,-1.0,Hawai'i,1.032622651582865
Vanderbilt,-1.0,Hawai'i,0.1106253034395996
Vanderbilt,-1.0,Hawai'i,-0.8286487168543601
Hawai'i,1.0,Vanderbilt,0.1104175997643273
Hawai'i,1.0,Vanderbilt,1.253659278461976
Hawai'i,1.0,Vanderbilt,-0.4922124363662006
Vanderbilt,-1.0,Hawai'i,-0.04789648957461967
Vanderbilt,-1.0,Hawai'i,1.6945481349364933
Vanderbilt,-1.0,Hawai'i,-0.6439997383019928
Vanderbilt,-1.0,Hawai'i,1.695892912504016
Vanderbilt,-1.0,Hawai'i,1.0437649955693085
Vanderbilt,-1.0,Hawai'i,0.296402392854205
Hawai'i,1.0,Vanderbilt,0.3134822593753178
Hawai'i,1.0,Vanderbilt,-0.174592780368566
Hawai'i,1.0,Vanderbilt,0.305899723171476
Vanderbilt,-1.0,Hawai'i,-0.8334176637748527
Vanderbilt,-1.0,Hawai'i,2.1527674705732487
Vanderbilt,-1.0,Hawai'i,-0.017336858055032
Vanderbilt,-1.0,Hawai'i,-0.317714797399509
Vanderbilt,-1.0,Hawai'i,0.938021275120443
Hawai'i,1.0,Vanderbilt,0.08868893535470244
Hawai'i,1.0,Vanderbilt,-0.5369222363997892
Vanderbilt,-1.0,Hawai'i,0.0927395188594593
Vanderbilt,-1.0,Hawai'i,0.9056862167810004
Vanderbilt,-1.0,Hawai'i,-0.7221421996351935
Vanderbilt,-1.0,Hawai'i,3.4454583059258286
Vanderbilt,-1.0,Hawai'i,0.118469971546051
Vanderbilt,-1.0,Hawai'i,2.513826842249442
Hawai'i,1.0,Vanderbilt,0.0201256568849252
Hawai'i,1.0,Vanderbilt,-2.24533806763373
Vanderbilt,-1.0,Hawai'i,2.1176315139538797
Vanderbilt,-1.0,Hawai'i,0.2339199321025055
Vanderbilt,-1.0,Hawai'i,2.5300945420359255
Vanderbilt,-1.0,Hawai'i,6.696795618867632
Vanderbilt,-1.0,Hawai'i,-1.1077677360468863
Vanderbilt,-1.0,Hawai'i,1.994339619014891
Vanderbilt,-1.0,Hawai'i,-0.8372206360227173
Vanderbilt,-1.0,Hawai'i,0.2535916965572634
Vanderbilt,-1.0,Hawai'i,0.07438453789675
Hawai'i,1.0,Vanderbilt,-0.2184310249941177
Hawai'i,1.0,Vanderbilt,-0.03751467403873135
Vanderbilt,-1.0,Hawai'i,0.1088137823196469
Vanderbilt,-1.0,Hawai'i,-1.0644407341429556
Vanderbilt,-1.0,Hawai'i,-0.310131189369969
Vanderbilt,-1.0,Hawai'i,-0.95159657347007
Hawai'i,1.0,Vanderbilt,-0.098522001264528
Hawai'i,1.0,Vanderbilt,1.1277897929143155
Hawai'i,1.0,Vanderbilt,1.3846699650971743
Hawai'i,1.0,Vanderbilt,-1.4372843166189264
Hawai'i,1.0,Vanderbilt,1.2000319286397794
Vanderbilt,-1.0,Hawai'i,-0.1607620955039497
Vanderbilt,-1.0,Hawai'i,0.1090631414379397
Vanderbilt,-1.0,Hawai'i,1.904074367735907
Vanderbilt,-1.0,Hawai'i,-0.182910644371269
Vanderbilt,-1.0,Hawai'i,2.607148468017737
Hawai'i,1.0,Vanderbilt,2.1001010583838617
Hawai'i,1.0,Vanderbilt,-0.2366089144620603
Hawai'i,1.0,Vanderbilt,-0.8424218332734518
Vanderbilt,-1.0,Hawai'i,-1.3441837386860085
Vanderbilt,-1.0,Hawai'i,-0.2753296909456502
Utah State,-1.0,Alabama,-0.6978431197964498
Utah State,-1.0,Alabama,-0.24907228640263404
Alabama,1.0,Utah State,-0.3446420231971743
Utah State,-1.0,Alabama,-0.5874795431016855
Alabama,1.0,Utah State,-1.1247712359915258
Alabama,1.0,Utah State,-0.232932636386652
Utah State,-1.0,Alabama,-0.15222912011238687
Alabama,1.0,Utah State,0.180209804991055
Alabama,1.0,Utah State,-0.315798379566314
Utah State,-1.0,Alabama,-1.0163607520985618
Alabama,1.0,Utah State,1.094285718541039
Alabama,1.0,Utah State,0.906633495178447
Alabama,1.0,Utah State,0.2725044215108985
Alabama,1.0,Utah State,-0.6826943418454315
Alabama,1.0,Utah State,1.675273027642513
Utah State,-1.0,Alabama,-0.7029700220436519
Utah State,-1.0,Alabama,-0.15871308844886392
Alabama,1.0,Utah State,3.6620739190103153
Utah State,-1.0,Alabama,1.8308316053343825
Utah State,-1.0,Alabama,0.7081222799232592
Utah State,-1.0,Alabama,-1.2589120202926765
Alabama,1.0,Utah State,-0.9864556271674072
Alabama,1.0,Utah State,0.8547798076767883
Alabama,1.0,Utah State,-0.2817600859254661
Alabama,1.0,Utah State,0.6253919140241935
